symbol,threshold,window,start,end,samples,signals,precision,recall,f1,auc,return_pct,profit_factor
BTC,0.5,2,2026-07-15 15:00:00,2026-07-22 12:00:00,166,62,0.0,0.0,0.0,0.23636363636363633,-12.170397769244914,0.17987687554842638
BTC,0.5,3,2026-07-22 13:00:00,2026-07-29 09:00:00,165,25,0.04,0.5,0.07407407407407407,0.7269938650306749,-4.407223514075658,0.27676239851204243
CAKE,0.6300000000000001,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,4,0.0,0.0,0.0,0.46216768916155415,0.6359321448533406,7.443420059363855
CAKE,0.6300000000000001,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,4,0.0,0.0,0.0,0.4484848484848485,-0.5168581874137546,0.4090121093225114
CAKE,0.6300000000000001,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,2,0.0,0.0,0.0,0.5792682926829269,0.8919002656965574,inf
CC,0.6000000000000001,1,2026-07-14 10:00:00,2026-07-19 10:00:00,121,27,0.1111111111111111,0.375,0.17142857142857143,0.6382743362831859,1.4525735461104903,1.2329398571079782
CC,0.6000000000000001,2,2026-07-19 11:00:00,2026-07-24 10:00:00,120,10,0.0,0.0,0.0,0.7669491525423728,1.2647913028430962,2.902434763479158
CC,0.6000000000000001,3,2026-07-24 11:00:00,2026-07-29 10:00:00,120,4,0.25,0.5,0.3333333333333333,0.75,1.8457606617577393,6.2146849342206005
CHZ,0.7700000000000002,1,2026-07-09 00:00:00,2026-07-15 19:00:00,164,1,0.0,0.0,0.0,0.8276729559748428,0.251659638825781,inf
CHZ,0.7700000000000002,2,2026-07-15 20:00:00,2026-07-22 15:00:00,164,1,0.0,0.0,0.0,0.7421875,0.7179655987588698,inf
CHZ,0.7700000000000002,3,2026-07-22 16:00:00,2026-07-29 10:00:00,163,0,0.0,0.0,0.0,0.5874999999999999,0.0,0.0
CRO,0.6300000000000001,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,7,0.0,0.0,0.0,,-0.25339302335869063,0.6117985482548065
CRO,0.6300000000000001,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,47,0.2127659574468085,0.8333333333333334,0.3389830508474576,0.7716450216450217,-12.104729077937826,0.5683812324178791
CRO,0.6300000000000001,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,6,0.0,0.0,0.0,0.585,-0.7193240646532181,0.0
CRV,0.6800000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,14,0.2857142857142857,0.26666666666666666,0.27586206896551724,0.6613686534216335,5.80892103063951,4.665558555291198
